model,fold,fold_size,feature,importance
Random Forest,1,115,mediumBAL,0.0
Random Forest,1,115,mediumNPS,0.0
Random Forest,1,115,mediumSputum,0.00010364249684015031
Random Forest,1,115,mediumTS,0.00018902408085450404
Random Forest,1,115,adult_pediatric,4.487023040990969e-06
Random Forest,1,115,continent,0.0
Random Forest,1,115,sex,0.005671227913777998
Random Forest,1,115,Veillonella,0.009796110365861529
Random Forest,1,115,Alloprevotella,0.0006375246903354754
Random Forest,1,115,Dietzia,0.05538424357481467
Random Forest,1,115,Varibaculum,0.0
Random Forest,1,115,Fannyhessea,6.578166601288141e-05
Random Forest,1,115,Selenomonas,0.002468749841168267
Random Forest,1,115,Granulicatella,0.007704189637430276
Random Forest,1,115,Lawsonella,0.00017867095201271432
Random Forest,1,115,Olsenella,4.579882946822336e-05
Random Forest,1,115,Stomatobaculum,0.004756638355788952
Random Forest,1,115,Janibacter,0.0001858109533382635
Random Forest,1,115,Haemophilus,0.0055443848780539874
Random Forest,1,115,Actinobacillus,0.0003260048908332079
Random Forest,1,115,Acinetobacter,0.004082929658476203
Random Forest,1,115,Mogibacterium,0.0032904058190127857
Random Forest,1,115,Abiotrophia,0.00879871590941635
Random Forest,1,115,Murdochiella,3.4221004017357014e-05
Random Forest,1,115,Bifidobacterium,0.017707805204062035
Random Forest,1,115,Neisseria,0.005486725763046293
Random Forest,1,115,Klebsiella,0.0014380873193839878
Random Forest,1,115,Helicobacter,0.00021381929911342657
Random Forest,1,115,Cutibacterium,0.0012300963927360988
Random Forest,1,115,Solobacterium,0.0009668806555744815
Random Forest,1,115,Gemella,0.07102268610414277
Random Forest,1,115,Peptostreptococcus,0.008248282323212269
Random Forest,1,115,Amniculibacterium,0.013764603730033822
Random Forest,1,115,Lautropia,0.001459852513350937
Random Forest,1,115,Schaalia,0.004464358075868615
Random Forest,1,115,Aminipila,0.0007450072291566284
Random Forest,1,115,Clostridium_sensu_stricto,0.018348505484995253
Random Forest,1,115,Prevotellamassilia,0.00014445448029574797
Random Forest,1,115,Deinococcus,0.018986870661818724
Random Forest,1,115,Filifactor,0.0002628012772556253
Random Forest,1,115,Johnsonella,0.00028483222579343245
Random Forest,1,115,Moraxella,0.0006935316250829575
Random Forest,1,115,Fretibacterium,0.0003407284866957944
Random Forest,1,115,Brachybacterium,0.00027999246616022404
Random Forest,1,115,Pseudomonas,0.032129819360706045
Random Forest,1,115,Rothia,0.005481301048795913
Random Forest,1,115,Blautia,0.00014283752650558852
Random Forest,1,115,Eubacterium,0.0019723705717094027
Random Forest,1,115,Sphingobium,7.04284828086613e-05
Random Forest,1,115,Corynebacterium,0.0015313676537293819
Random Forest,1,115,Kingella,0.0006100218916645434
Random Forest,1,115,Micrococcus,0.016830494037628763
Random Forest,1,115,Enterocloster,0.005607934586886964
Random Forest,1,115,Megasphaera,0.003338441277612336
Random Forest,1,115,Methylobacterium,0.0009200727546336289
Random Forest,1,115,Bradyrhizobium,0.00043663307535352205
Random Forest,1,115,Sphingomonas,0.00523580117105411
